mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.7,"54 km NW of Toyah, Texas",1620761924854,1620835783026,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jfah,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jfah&format=geojson,,,,,reviewed,0,44,tx,2021jfah,",tx2021jfah,",",tx,",",origin,phase-data,",12.0,0.1493257069,0.3,65.0,ml,earthquake,"M 1.7 - 54 km NW of Toyah, Texas"
1.07,"15 km SSE of Sunnyside, Utah",1620761846230,1620769369120,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60435777,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60435777&format=geojson,,,,,reviewed,0,18,uu,60435777,",uu60435777,",",uu,",",origin,phase-data,",4.0,0.002288,0.02,147.0,md,earthquake,"M 1.1 - 15 km SSE of Sunnyside, Utah"
0.35,"6km NW of The Geysers, CA",1620761810390,1620761904963,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561285,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561285&format=geojson,,,,,automatic,0,2,nc,73561285,",nc73561285,",",nc,",",nearby-cities,origin,phase-data,",9.0,0.01056,0.02,76.0,md,earthquake,"M 0.4 - 6km NW of The Geysers, CA"
0.87,"6km NW of The Geysers, CA",1620761470580,1620761566200,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561280,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561280&format=geojson,,,,,automatic,0,12,nc,73561280,",nc73561280,",",nc,",",nearby-cities,origin,phase-data,",19.0,0.01034,0.01,79.0,md,earthquake,"M 0.9 - 6km NW of The Geysers, CA"
1.09,"19km E of Little Lake, CA",1620761455030,1620856156216,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39648567,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39648567&format=geojson,,,,,reviewed,0,18,ci,39648567,",ci39648567,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.06093,0.09,43.0,ml,earthquake,"M 1.1 - 19km E of Little Lake, CA"
1.35,"10km SE of Willits, CA",1620761216930,1620811873211,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561275,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561275&format=geojson,,,,,reviewed,0,28,nc,73561275,",nc73561275,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.07578,0.06,108.0,md,earthquake,"M 1.4 - 10km SE of Willits, CA"
1.63,"1 km SSE of Guánica, Puerto Rico",1620761127740,1620778175966,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021131012,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021131012&format=geojson,,,,,reviewed,0,41,pr,2021131012,",pr2021131012,",",pr,",",origin,phase-data,",4.0,0.1443,0.08,293.0,md,earthquake,"M 1.6 - 1 km SSE of Guánica, Puerto Rico"
1.7,"2 km SE of Aline, Oklahoma",1620761106080,1620846628236,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2021jezv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2021jezv&format=geojson,,,,,reviewed,0,44,ok,2021jezv,",ok2021jezv,",",ok,",",origin,phase-data,",50.0,0.06478728652,0.23,123.0,ml,earthquake,"M 1.7 - 2 km SE of Aline, Oklahoma"
0.85,"8km WNW of Cobb, CA",1620761049030,1620761146046,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561270,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561270&format=geojson,,,,,automatic,0,11,nc,73561270,",nc73561270,",",nc,",",nearby-cities,origin,phase-data,",7.0,0.01476,0.01,111.0,md,earthquake,"M 0.9 - 8km WNW of Cobb, CA"
1.68,"19 km SSW of Guánica, Puerto Rico",1620760999790,1620778188750,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021131013,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021131013&format=geojson,,,,,reviewed,0,43,pr,2021131013,",pr2021131013,",",pr,",",origin,phase-data,",4.0,0.2008,0.1,323.0,md,earthquake,"M 1.7 - 19 km SSW of Guánica, Puerto Rico"
1.5,"4 km ESE of Big Lake, Alaska",1620760412574,1620761674861,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02160ysk07,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02160ysk07&format=geojson,,,,,automatic,0,35,ak,02160ysk07,",ak02160ysk07,",",ak,",",origin,",,,0.57,,ml,earthquake,"M 1.5 - 4 km ESE of Big Lake, Alaska"
1.48,"5 km SW of Thatcher, Utah",1620760070200,1620769088770,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60435772,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60435772&format=geojson,,,,,reviewed,0,34,uu,60435772,",uu60435772,",",uu,",",origin,phase-data,",14.0,0.08868,0.19,187.0,ml,earthquake,"M 1.5 - 5 km SW of Thatcher, Utah"
3.3,"54 km S of Whites City, New Mexico",1620760034074,1620761601560,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jezg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jezg&format=geojson,,,,,reviewed,0,168,tx,2021jezg,",us7000e25l,tx2021jezg,",",us,tx,",",origin,phase-data,",31.0,0.08837979347,0.2,51.0,ml,earthquake,"M 3.3 - 54 km S of Whites City, New Mexico"
0.57,"5 km ENE of Walkerville, Montana",1620759468400,1620764468510,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80501669,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80501669&format=geojson,,,,,reviewed,0,5,mb,80501669,",mb80501669,",",mb,",",origin,phase-data,",6.0,0.064,0.06,243.0,ml,quarry blast,"M 0.6 Quarry Blast - 5 km ENE of Walkerville, Montana"
1.3,"7km SSW of Mojave, CA",1620759178090,1620854153641,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39648535,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39648535&format=geojson,,,,,reviewed,0,26,ci,39648535,",ci39648535,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.1164,0.18,56.0,ml,quarry blast,"M 1.3 Quarry Blast - 7km SSW of Mojave, CA"
1.42,"0km NNW of Danville, CA",1620759098950,1620773054407,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561265,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561265&format=geojson,,,,,reviewed,0,31,nc,73561265,",nc73561265,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.03653,0.07,59.0,md,earthquake,"M 1.4 - 0km NNW of Danville, CA"
0.55,"6km NW of The Geysers, CA",1620758854000,1620763081940,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561260,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561260&format=geojson,,,,,reviewed,0,5,nc,73561260,",nc73561260,",",nc,",",nearby-cities,origin,phase-data,",5.0,0.01336,0.03,139.0,md,earthquake,"M 0.6 - 6km NW of The Geysers, CA"
1.2,"41 km SE of Denali National Park, Alaska",1620758429990,1620759089158,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02160ycwio,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02160ycwio&format=geojson,,,,,automatic,0,22,ak,02160ycwio,",ak02160ycwio,",",ak,",",origin,",,,1.57,,ml,earthquake,"M 1.2 - 41 km SE of Denali National Park, Alaska"
1.6,"44 km NW of Toyah, Texas",1620758303686,1620836266424,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jeyh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jeyh&format=geojson,,,,,reviewed,0,39,tx,2021jeyh,",tx2021jeyh,",",tx,",",origin,phase-data,",11.0,0.1009458744,0.3,69.0,ml,earthquake,"M 1.6 - 44 km NW of Toyah, Texas"
1.4,"42 km W of Nanwalek, Alaska",1620757890254,1620758617678,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02160yaz41,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02160yaz41&format=geojson,,,,,automatic,0,30,ak,02160yaz41,",ak02160yaz41,",",ak,",",origin,",,,0.36,,ml,earthquake,"M 1.4 - 42 km W of Nanwalek, Alaska"
1.48,"6km SSW of Gilroy, CA",1620757704950,1620947473518,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561255,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561255&format=geojson,,,,,reviewed,0,34,nc,73561255,",nc73561255,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",28.0,0.01399,0.1,53.0,md,earthquake,"M 1.5 - 6km SSW of Gilroy, CA"
1.85000002,"4 km E of Pāhala, Hawaii",1620757667160,1620757853000,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72464097,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72464097&format=geojson,,,,,automatic,0,53,hv,72464097,",hv72464097,",",hv,",",origin,phase-data,",35.0,,0.100000001,146.0,md,earthquake,"M 1.9 - 4 km E of Pāhala, Hawaii"
1.6,"32 km SE of Mina, Nevada",1620757338550,1620769191012,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00807013,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00807013&format=geojson,,,,,reviewed,0,39,nn,00807013,",nn00807013,",",nn,",",origin,phase-data,",25.0,0.017,0.141,79.6,ml,earthquake,"M 1.6 - 32 km SE of Mina, Nevada"
2.2,"28 km E of Chenega, Alaska",1620756738138,1620756944088,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02160y6vgv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02160y6vgv&format=geojson,,,,,automatic,0,74,ak,02160y6vgv,",ak02160y6vgv,",",ak,",",origin,",,,1.14,,ml,earthquake,"M 2.2 - 28 km E of Chenega, Alaska"
1.62,"45km NE of Holtville, CA",1620756507810,1620843076379,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39648503,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39648503&format=geojson,,,,,reviewed,0,40,ci,39648503,",ci39648503,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.09347,0.27,64.0,ml,quarry blast,"M 1.6 Quarry Blast - 45km NE of Holtville, CA"
0.34,"6km NW of The Geysers, CA",1620756472500,1620756570572,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561250,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561250&format=geojson,,,,,automatic,0,2,nc,73561250,",nc73561250,",",nc,",",nearby-cities,origin,phase-data,",10.0,0.008023,0.02,94.0,md,earthquake,"M 0.3 - 6km NW of The Geysers, CA"
2.6,"54 km S of Whites City, New Mexico",1620756016432,1620757959508,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jexa,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jexa&format=geojson,,,,,reviewed,0,104,tx,2021jexa,",us7000e23y,tx2021jexa,",",us,tx,",",origin,phase-data,",20.0,0.07447168081,0.3,51.0,ml,earthquake,"M 2.6 - 54 km S of Whites City, New Mexico"
0.89,"8km NW of The Geysers, CA",1620755937650,1620756035932,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561245,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561245&format=geojson,,,,,automatic,0,12,nc,73561245,",nc73561245,",",nc,",",nearby-cities,origin,phase-data,",21.0,0.007119,0.03,56.0,md,earthquake,"M 0.9 - 8km NW of The Geysers, CA"
1.43,Western Montana,1620755849660,1620764832650,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80501674,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80501674&format=geojson,,,,,reviewed,0,31,mb,80501674,",mb80501674,",",mb,",",origin,phase-data,",7.0,0.331,0.07,165.0,ml,quarry blast,M 1.4 Quarry Blast - Western Montana
0.9,"27 km NNW of Beluga, Alaska",1620755359781,1620755671411,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02160xtdl6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02160xtdl6&format=geojson,,,,,automatic,0,12,ak,02160xtdl6,",ak02160xtdl6,",",ak,",",origin,",,,0.42,,ml,earthquake,"M 0.9 - 27 km NNW of Beluga, Alaska"
1.75999999,"2 km SSE of Pāhala, Hawaii",1620755346190,1620755545440,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72464062,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72464062&format=geojson,,,,,automatic,0,48,hv,72464062,",hv72464062,",",hv,",",origin,phase-data,",36.0,,0.119999997,158.0,md,earthquake,"M 1.8 - 2 km SSE of Pāhala, Hawaii"
1.52,"5 km SE of La Parguera, Puerto Rico",1620755303050,1620778151670,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021131010,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021131010&format=geojson,,,,,reviewed,0,36,pr,2021131010,",pr2021131010,",",pr,",",origin,phase-data,",4.0,0.0426,0.07,272.0,md,earthquake,"M 1.5 - 5 km SE of La Parguera, Puerto Rico"
2.33,"1 km E of Pāhala, Hawaii",1620755036820,1620756678040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72464057,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72464057&format=geojson,,,,,automatic,0,84,hv,72464057,",us7000e23u,hv72464057,",",us,hv,",",origin,phase-data,",45.0,,0.140000001,107.0,ml,earthquake,"M 2.3 - 1 km E of Pāhala, Hawaii"
1.18,"10km NW of The Geysers, CA",1620755035680,1620759674946,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561240,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561240&format=geojson,,,,,automatic,0,21,nc,73561240,",nc73561240,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.002257,0.02,63.0,md,earthquake,"M 1.2 - 10km NW of The Geysers, CA"
1.58,"9km SE of Olancha, CA",1620754824290,1620764505150,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39648463,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39648463&format=geojson,,,,,reviewed,0,38,ci,39648463,",ci39648463,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",22.0,0.1209,0.15,62.0,ml,earthquake,"M 1.6 - 9km SE of Olancha, CA"
1.63,"2 km WNW of Bethel, Washington",1620754691330,1620756549470,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61731731,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61731731&format=geojson,,,,,reviewed,0,41,uw,61731731,",uw61731731,",",uw,",",origin,phase-data,",5.0,0.09711,0.12,327.0,ml,explosion,"M 1.6 Explosion - 2 km WNW of Bethel, Washington"
1.44,"4 km SE of La Parguera, Puerto Rico",1620754610940,1620778132758,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2021131009,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2021131009&format=geojson,,,,,reviewed,0,32,pr,2021131009,",pr2021131009,",",pr,",",origin,phase-data,",4.0,0.0327,0.05,271.0,md,earthquake,"M 1.4 - 4 km SE of La Parguera, Puerto Rico"
1.1,"86 km NW of Aleneva, Alaska",1620753730727,1620774484793,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02160xnkot,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02160xnkot&format=geojson,,,,,reviewed,0,19,ak,02160xnkot,",ak02160xnkot,",",ak,",",origin,phase-data,",,,0.35,,ml,earthquake,"M 1.1 - 86 km NW of Aleneva, Alaska"
1.5,"7 km WSW of Houston, Alaska",1620753718644,1620753997275,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02160xngjd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02160xngjd&format=geojson,,,,,automatic,0,35,ak,02160xngjd,",ak02160xngjd,",",ak,",",origin,",,,0.71,,ml,earthquake,"M 1.5 - 7 km WSW of Houston, Alaska"
0.58,"20km S of Trona, CA",1620753132690,1620842808098,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39648439,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39648439&format=geojson,,,,,reviewed,0,5,ci,39648439,",ci39648439,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.05696,0.15,167.0,ml,earthquake,"M 0.6 - 20km S of Trona, CA"
1.26,"16km E of Ocotillo, CA",1620752761170,1620845801612,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39648407,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39648407&format=geojson,,,,,reviewed,0,24,ci,39648407,",ci39648407,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.124,0.17,63.0,ml,earthquake,"M 1.3 - 16km E of Ocotillo, CA"
1.44,"6 km ENE of Ashland, Oregon",1620752687160,1620754785100,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61731721,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61731721&format=geojson,,,,,reviewed,0,32,uw,61731721,",uw61731721,",",uw,",",origin,phase-data,",5.0,0.2458,0.2,151.0,ml,explosion,"M 1.4 Explosion - 6 km ENE of Ashland, Oregon"
0.92,"6km NW of The Geysers, CA",1620752048210,1620752146385,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561230,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561230&format=geojson,,,,,automatic,0,13,nc,73561230,",nc73561230,",",nc,",",nearby-cities,origin,phase-data,",24.0,0.01029,0.02,30.0,md,earthquake,"M 0.9 - 6km NW of The Geysers, CA"
-0.22,"66 km NNW of Karluk, Alaska",1620751943010,1620867148540,,https://earthquake.usgs.gov/earthquakes/eventpage/av91027003,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91027003&format=geojson,,,,,reviewed,0,0,av,91027003,",av91027003,",",av,",",origin,phase-data,",6.0,,0.13,261.0,ml,earthquake,"M -0.2 - 66 km NNW of Karluk, Alaska"
1.4,"38 km SSE of Denali National Park, Alaska",1620751936434,1620752113292,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02160x8kvf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02160x8kvf&format=geojson,,,,,automatic,0,30,ak,02160x8kvf,",ak02160x8kvf,",",ak,",",origin,",,,0.7,,ml,earthquake,"M 1.4 - 38 km SSE of Denali National Park, Alaska"
0.22,"13km NE of Coso Junction, CA",1620751923100,1620829324430,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39648367,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39648367&format=geojson,,,,,reviewed,0,1,ci,39648367,",ci39648367,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.01355,0.08,200.0,ml,earthquake,"M 0.2 - 13km NE of Coso Junction, CA"
0.63,"7km W of Cobb, CA",1620751879020,1620751975778,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561225,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561225&format=geojson,,,,,automatic,0,6,nc,73561225,",nc73561225,",",nc,",",nearby-cities,origin,phase-data,",18.0,0.01113,0.01,58.0,md,earthquake,"M 0.6 - 7km W of Cobb, CA"
0.97,"6km NW of The Geysers, CA",1620751776210,1620751874842,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561220,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561220&format=geojson,,,,,automatic,0,14,nc,73561220,",nc73561220,",",nc,",",nearby-cities,origin,phase-data,",26.0,0.01119,0.02,57.0,md,earthquake,"M 1.0 - 6km NW of The Geysers, CA"
0.79,"6km NW of The Geysers, CA",1620751506870,1620751604804,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561215,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561215&format=geojson,,,,,automatic,0,10,nc,73561215,",nc73561215,",",nc,",",nearby-cities,origin,phase-data,",21.0,0.01034,0.02,58.0,md,earthquake,"M 0.8 - 6km NW of The Geysers, CA"
1.4,"8 km WNW of Glenbrook, Nevada",1620751152671,1620754146955,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00807006,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00807006&format=geojson,,,,,reviewed,0,30,nn,00807006,",nn00807006,",",nn,",",origin,phase-data,",21.0,0.089,0.1416,60.28,ml,earthquake,"M 1.4 - 8 km WNW of Glenbrook, Nevada"
0.67,"23km ESE of Little Lake, CA",1620750798960,1620845538429,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39648311,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39648311&format=geojson,,,,,reviewed,0,7,ci,39648311,",ci39648311,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.07924,0.07,92.0,ml,earthquake,"M 0.7 - 23km ESE of Little Lake, CA"
1.5,"54 km NW of Toyah, Texas",1620750147315,1620755353122,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jetv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jetv&format=geojson,,,,,reviewed,0,35,tx,2021jetv,",tx2021jetv,",",tx,",",origin,phase-data,",15.0,0.1512382119,0.2,56.0,ml,earthquake,"M 1.5 - 54 km NW of Toyah, Texas"
0.9,"16km E of Ocotillo, CA",1620750129060,1620844116364,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39648303,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39648303&format=geojson,,,,,reviewed,0,12,ci,39648303,",ci39648303,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.1264,0.23,93.0,ml,earthquake,"M 0.9 - 16km E of Ocotillo, CA"
0.99,"2 km NNE of Bainbridge Island, Washington",1620749577140,1620755965940,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61731711,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61731711&format=geojson,,,,,reviewed,0,15,uw,61731711,",uw61731711,",",uw,",",origin,phase-data,",5.0,0.2132,0.19,302.0,ml,earthquake,"M 1.0 - 2 km NNE of Bainbridge Island, Washington"
0.91,"6km W of Cobb, CA",1620749491120,1620749591001,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561205,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561205&format=geojson,,,,,automatic,0,13,nc,73561205,",nc73561205,",",nc,",",nearby-cities,origin,phase-data,",18.0,0.01233,0.03,45.0,md,earthquake,"M 0.9 - 6km W of Cobb, CA"
0.67,"6km W of Cobb, CA",1620749349330,1620749445384,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561195,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561195&format=geojson,,,,,automatic,0,7,nc,73561195,",nc73561195,",",nc,",",nearby-cities,origin,phase-data,",14.0,0.01339,0.05,47.0,md,earthquake,"M 0.7 - 6km W of Cobb, CA"
2.22,"14km NE of Coso Junction, CA",1620749309100,1620843980050,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39648287,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39648287&format=geojson,,,,,reviewed,0,76,ci,39648287,",ci39648287,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",40.0,0.01858,0.12,39.0,ml,earthquake,"M 2.2 - 14km NE of Coso Junction, CA"
1.2,"30 km SSE of Mina, Nevada",1620748900705,1620767507771,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00807000,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00807000&format=geojson,,,,,reviewed,0,22,nn,00807000,",nn00807000,",",nn,",",origin,phase-data,",23.0,0.015,0.1295,70.79,ml,earthquake,"M 1.2 - 30 km SSE of Mina, Nevada"
0.9,"18km E of Ocotillo, CA",1620748827540,1620839499647,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39648279,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39648279&format=geojson,,,,,reviewed,0,12,ci,39648279,",ci39648279,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.1172,0.14,117.0,ml,earthquake,"M 0.9 - 18km E of Ocotillo, CA"
0.06,"18km ESE of Anza, CA",1620748827110,1620839749724,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37324124,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37324124&format=geojson,,,,,reviewed,0,0,ci,37324124,",ci37324124,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.08083,0.12,111.0,ml,earthquake,"M 0.1 - 18km ESE of Anza, CA"
0.35,"6km NW of The Geysers, CA",1620748770800,1620748867745,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561185,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561185&format=geojson,,,,,automatic,0,2,nc,73561185,",nc73561185,",",nc,",",nearby-cities,origin,phase-data,",7.0,0.009861,0.01,143.0,md,earthquake,"M 0.4 - 6km NW of The Geysers, CA"
0.35,"6km W of Cobb, CA",1620748515550,1620748610544,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561180,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561180&format=geojson,,,,,automatic,0,2,nc,73561180,",nc73561180,",",nc,",",nearby-cities,origin,phase-data,",6.0,0.01314,0.01,156.0,md,earthquake,"M 0.4 - 6km W of Cobb, CA"
0.98,"13km W of Morongo Valley, CA",1620748488320,1620839308728,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39648271,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39648271&format=geojson,,,,,reviewed,0,15,ci,39648271,",ci39648271,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",32.0,0.06097,0.1,57.0,ml,earthquake,"M 1.0 - 13km W of Morongo Valley, CA"
1.6,"31 km SW of Skwentna, Alaska",1620748473045,1620748634215,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02160wnlz4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02160wnlz4&format=geojson,,,,,automatic,0,39,ak,02160wnlz4,",ak02160wnlz4,",",ak,",",origin,",,,0.66,,ml,earthquake,"M 1.6 - 31 km SW of Skwentna, Alaska"
0.73,"62 km WNW of Beluga, Alaska",1620748299050,1620866201540,,https://earthquake.usgs.gov/earthquakes/eventpage/av91026998,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91026998&format=geojson,,,,,reviewed,0,8,av,91026998,",av91026998,",",av,",",origin,phase-data,",6.0,,0.11,296.0,ml,earthquake,"M 0.7 - 62 km WNW of Beluga, Alaska"
0.39,"19km ESE of Anza, CA",1620747787380,1620838718056,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39648231,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39648231&format=geojson,,,,,reviewed,0,2,ci,39648231,",ci39648231,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.06037,0.13,142.0,ml,earthquake,"M 0.4 - 19km ESE of Anza, CA"
2.11,"26km W of Rancho Tehama Reserve, CA",1620747509400,1620761654138,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561175,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561175&format=geojson,,,,,reviewed,0,68,nc,73561175,",nc73561175,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.1874,0.26,86.0,md,earthquake,"M 2.1 - 26km W of Rancho Tehama Reserve, CA"
